Inference for Stan model: process_sdm_based_on_20221003.
3 chains, each with iter=4000; warmup=2000; thin=10; 
post-warmup draws per chain=200, total post-warmup draws=600.

mean      se_mean           sd          2.5%           25%
T_adjust[1,22]               8.400000e-01 1.000000e-02 1.700000e-01  4.200000e-01  7.600000e-01
T_adjust[1,23]               8.200000e-01 1.000000e-02 1.900000e-01  3.700000e-01  7.200000e-01
T_adjust[1,24]               8.300000e-01 1.000000e-02 1.800000e-01  3.900000e-01  7.400000e-01
T_adjust[1,25]               8.300000e-01 1.000000e-02 1.800000e-01  3.800000e-01  7.300000e-01
T_adjust[2,1]                9.000000e-02 1.000000e-02 1.500000e-01  0.000000e+00  0.000000e+00
T_adjust[2,2]                1.400000e-01 1.000000e-02 1.800000e-01  0.000000e+00  1.000000e-02
T_adjust[2,3]                1.300000e-01 1.000000e-02 1.700000e-01  0.000000e+00  1.000000e-02
T_adjust[2,4]                1.100000e-01 1.000000e-02 1.600000e-01  0.000000e+00  1.000000e-02
50%           75%         97.5% n_eff Rhat
sigma_r                      7.000000e-01  7.900000e-01  9.600000e-01   621 1.00
sigma_obs                    1.580000e+00  1.610000e+00  1.670000e+00   484 1.00
width                        4.540000e+00  6.120000e+00  1.066000e+01   428 1.00
Topt                         6.160000e+00  7.200000e+00  9.460000e+00   602 1.00
log_mean_recruits[1]         7.690000e+00  8.020000e+00  8.770000e+00   547 1.00
log_mean_recruits[2]         4.570000e+00  6.750000e+00  1.024000e+01   569 1.00
log_mean_recruits[3]         9.240000e+00  9.530000e+00  1.037000e+01   372 1.00
log_mean_recruits[4]         9.070000e+00  9.950000e+00  1.163000e+01   318 1.00
log_mean_recruits[5]         1.159000e+01  1.194000e+01  1.271000e+01   480 1.00
log_mean_recruits[6]         8.750000e+00  9.530000e+00  1.128000e+01   321 1.00
log_mean_recruits[7]         1.213000e+01  1.243000e+01  1.307000e+01   432 1.01
log_mean_recruits[8]         1.059000e+01  1.103000e+01  1.197000e+01   345 1.00
log_mean_recruits[9]         3.580000e+00  5.550000e+00  8.270000e+00   622 1.00
log_mean_recruits[10]        1.324000e+01  1.357000e+01  1.423000e+01   433 1.00
log_mean_recruits[11]        1.092000e+01  1.121000e+01  1.199000e+01   479 1.00
log_mean_recruits[12]        7.350000e+00  7.820000e+00  9.010000e+00   488 1.00
log_mean_recruits[13]        1.155000e+01  1.181000e+01  1.238000e+01   546 1.00
log_mean_recruits[14]        9.910000e+00  1.021000e+01  1.106000e+01   378 1.00
log_mean_recruits[15]        9.900000e+00  1.021000e+01  1.103000e+01   442 1.00
log_mean_recruits[16]        8.180000e+00  8.540000e+00  9.260000e+00   421 1.00
log_mean_recruits[17]        1.016000e+01  1.046000e+01  1.120000e+01   389 1.00
log_mean_recruits[18]        1.157000e+01  1.184000e+01  1.245000e+01   605 1.00
log_mean_recruits[19]        9.340000e+00  9.640000e+00  1.037000e+01   428 1.00
log_mean_recruits[20]        9.090000e+00  9.340000e+00  9.910000e+00   421 1.00
log_mean_recruits[21]        1.239000e+01  1.271000e+01  1.343000e+01   424 1.01
log_mean_recruits[22]        9.400000e+00  9.790000e+00  1.066000e+01   384 1.00
log_mean_recruits[23]        9.210000e+00  9.460000e+00  1.008000e+01   426 1.00
log_mean_recruits[24]        9.400000e+00  9.610000e+00  1.022000e+01   498 1.00
log_mean_recruits[25]        8.980000e+00  9.340000e+00  1.018000e+01   359 1.01
log_mean_recruits[26]        9.210000e+00  9.410000e+00  9.920000e+00   510 1.00
log_mean_recruits[27]        9.150000e+00  9.370000e+00  9.890000e+00   513 1.00
log_mean_recruits[28]        5.930000e+00  6.460000e+00  7.290000e+00   571 1.00
log_mean_recruits[29]        7.470000e+00  7.750000e+00  8.370000e+00   445 1.00
log_mean_recruits[30]        9.560000e+00  9.800000e+00  1.029000e+01   550 1.00
log_mean_recruits[31]        8.950000e+00  9.200000e+00  9.710000e+00   515 1.00
log_mean_recruits[32]        6.550000e+00  6.900000e+00  7.700000e+00   493 1.00
log_mean_recruits[33]        9.100000e+00  9.320000e+00  9.850000e+00   465 1.00
log_mean_recruits[34]        9.560000e+00  9.760000e+00  1.031000e+01   506 1.00
log_mean_recruits[35]        9.650000e+00  9.880000e+00  1.044000e+01   455 1.00
log_mean_recruits[36]        8.360000e+00  8.610000e+00  9.090000e+00   445 1.00
log_mean_recruits[37]        9.120000e+00  9.360000e+00  9.850000e+00   446 1.00
raw[1]                       2.000000e-02  2.700000e-01  7.200000e-01   689 1.00
raw[2]                      -1.300000e-01  2.100000e-01  8.200000e-01   546 1.00
raw[3]                      -6.400000e-01 -3.400000e-01  2.100000e-01   510 1.01
raw[4]                      -7.000000e-01 -4.400000e-01  2.000000e-01   567 1.00
raw[5]                       0.000000e+00  2.500000e-01  7.700000e-01   449 1.00
raw[6]                      -1.800000e-01  1.500000e-01  6.900000e-01   649 1.00
raw[7]                       1.600000e-01  4.300000e-01  1.060000e+00   471 1.01
raw[8]                       4.200000e-01  7.100000e-01  1.170000e+00   465 1.01
raw[9]                      -1.700000e-01  2.000000e-01  1.210000e+00   508 1.00
raw[10]                      8.600000e-01  1.120000e+00  1.540000e+00   505 1.00
raw[11]                      4.000000e-02  4.200000e-01  1.080000e+00   666 1.00
raw[12]                      4.200000e-01  7.200000e-01  1.170000e+00   665 1.00
raw[13]                      6.000000e-01  9.200000e-01  1.490000e+00   608 1.00
raw[14]                      6.000000e-02  3.700000e-01  9.500000e-01   466 1.00
raw[15]                      3.600000e-01  6.100000e-01  1.150000e+00   424 1.00
raw[16]                     -3.300000e-01 -4.000000e-02  4.700000e-01   527 1.00
raw[17]                     -3.600000e-01 -4.000000e-02  4.500000e-01   618 1.00
raw[18]                     -5.500000e-01 -2.000000e-01  4.400000e-01   592 1.00
raw[19]                      4.700000e-01  8.000000e-01  1.430000e+00   554 1.01
raw[20]                      1.210000e+00  1.500000e+00  2.010000e+00   516 1.01
raw[21]                      8.800000e-01  1.200000e+00  1.720000e+00   532 1.00
raw[22]                      5.600000e-01  9.200000e-01  1.460000e+00   534 1.01
raw[23]                     -2.000000e-01  1.700000e-01  7.600000e-01   579 1.00
raw[24]                     -5.700000e-01 -2.400000e-01  4.300000e-01   561 1.00
raw[25]                      2.400000e-01  5.700000e-01  1.150000e+00   567 1.00
p_length_50_sel              2.200000e-01  3.200000e-01  4.700000e-01   585 1.00
beta_obs                     0.000000e+00  0.000000e+00  0.000000e+00   651 1.00
